PID,Sale_Price
526350040,116567.91
527145080,178079.1
527146030,241793.52
527166040,165842.02
527216070,423870.56
527258010,297674.66
527302110,224214.31
527404120,129030.37
527453150,111785.47
527454200,142255.62
528112020,295119.06
528120060,410086.8
528120120,286060.75
528175010,223192.62
528176070,338987.6
528180070,291520.38
528181050,215655.61
528188120,164315.1
528240130,193740.89
528344070,332190.4
528358010,233810.23
528445060,237245.03
528477080,232148.28
528480090,234767.89
531380080,247869.55
531452020,127384.41
531452180,201479.25
531453040,160849.81
532351140,135099.23
532376160,135516.16
532377060,115918.83
532377100,130779.016
532479070,184716.89
533205060,232299.11
533210060,165056.25
533213030,244561.6
533223020,166940.11
533238045,282591.88
533244030,248768.98
533253060,153611.03
534102025,225875.69
534151175,259241.94
534475100,125757.28
535152250,147680.33
535154050,119348.19
535302200,123860.6
535453070,156894.61
535457010,138597.08
535457090,142531.56
535477020,153116.97
902104060,81964.484
902106130,94135.875
902106140,110024.57
902110090,139946.67
902125080,97049.29
902206130,123084.73
902206240,107933.12
902327040,116964.78
902329030,189329.77
903228150,130991.22
903426200,143680.42
903450110,109964.36
903476030,133796.39
905101310,119150.65
905102060,134483.88
905104210,125303.08
905106140,149319.3
905107110,178248.33
905325030,237091.45
905378040,132340.17
905452110,129199.92
905453080,237066.58
905475510,102936.445
906201030,161759.12
906223090,231985.62
906380190,196037.56
906385020,193781.17
906402200,331754.78
907125090,148788.5
907200290,153181.38
907203070,127038.41
907290240,142631.92
908102110,92828.03
908102130,111502.67
908102300,88729.945
909452114,209480.33
909455040,174779.67
911128180,83173.12
911202100,80515.08
914467040,258725.23
916386010,215830.08
916386020,180926.23
916455170,219695.03
923226320,80785.125
923228270,81605.47
923276250,157273.62
924151040,285039.53
526355080,386600.78
527131030,258544.69
527146010,240527.19
527162120,186928.33
527163040,186126.42
527164020,153320.06
527165130,163533.44
527326040,170033.95
527353060,257795.95
527359050,154949.5
527359180,181516.44
527401160,129269.56
527403040,148222.98
527405130,104390.69
527405160,105567.65
527452060,124769.695
527453050,141418.19
527455090,114428.22
528102040,341701.38
528104070,497385.5
