PID,Sale_Price
526351010,149532.62
527105030,192733.22
527146030,255132.7
527163010,167724.92
527276150,101224.64
527358140,203258.45
527368020,210646.27
527403020,134785.73
527452190,138261.62
527453130,145514.33
528108120,364516.47
528138060,199923.7
528218150,173519.94
528382020,295342.9
528458070,213464.55
528458110,258311.05
528477080,222891.22
528480090,235425.7
531367050,235303.16
531369060,184389.88
531380080,250998.58
531453010,146795.27
532378110,146309.45
533205060,228494.22
533210060,171605.84
533212060,155745.38
533213030,259127.0
533221110,179778.84
533352170,166207.3
534102025,227567.81
534152050,217126.17
534152070,205833.56
534176060,176881.92
534202160,144821.7
534401110,146561.67
534401140,177069.61
534403410,157755.98
534430080,130408.87
535125010,274098.88
535152010,127047.01
535153070,132372.36
535154050,112323.1
535175070,138494.95
535325400,99687.984
535327140,104251.5
535350030,150639.61
535350040,134088.53
535353190,117970.445
535456110,135443.28
902128170,105253.4
902206220,156744.16
902207130,44714.117
902207140,99510.64
902401060,80196.97
902403070,158592.42
903227020,128166.12
903227150,135414.73
904100140,241077.66
904302260,99027.914
904350045,96958.72
905101100,94772.375
905101300,119605.016
905102060,133787.2
905103060,172563.94
905105070,156291.88
905107250,150051.61
905109130,295535.9
905378040,128735.13
905426200,145429.28
905452110,126406.586
905475510,110753.92
906223090,230062.88
906402200,327416.0
906477110,154325.97
907200280,158957.5
907200290,161341.9
907250030,322033.53
907262050,218553.83
907290040,203700.7
907290240,143712.08
907410080,217828.44
908102060,60719.297
908102130,109809.67
908152080,125571.28
908275300,145584.56
909100110,118129.97
909176150,124388.086
909250060,191235.17
909426080,184043.6
909428280,293037.8
909455040,177417.81
909475140,274514.03
910202060,110813.51
911204090,91172.61
911370510,264841.8
914467040,264274.38
914476520,212046.08
914478045,141254.14
916386010,208609.52
916386060,157330.03
916386090,255462.36
923202105,175959.42
923204150,141983.47
923225300,92011.25
923226320,79651.83
923228370,92171.8
923251080,141639.95
923276030,129725.766
923276250,148448.34
923426070,138541.72
924100050,139962.16
526302110,117955.37
527127100,353804.84
527164060,165098.6
527165130,160493.25
527180100,179326.44
527258020,266868.34
