PID,Sale_Price
527145080,186373.48
527163010,173858.52
527182190,222049.12
527216070,414579.06
527258010,329231.44
527302110,222770.52
527358140,208129.22
527451180,99653.86
527451330,96288.805
527451410,92845.83
527452190,135154.89
527453130,140255.84
528112020,304161.84
528120060,415899.34
528120090,248146.05
528120100,229471.89
528120120,300469.78
528176010,499816.25
528176070,342383.78
528218150,181351.55
528328100,334822.34
528382020,297710.16
528386040,398319.38
528458110,253222.08
531369060,188550.98
531380080,251168.36
531452050,124912.69
532376160,135401.05
533130020,220863.47
533210060,166417.12
533212060,153866.73
533213030,261868.66
534151175,261303.11
534152050,214688.89
534276360,121609.09
534403360,149595.23
534403410,162625.94
534427010,158058.38
534450180,124275.914
534451150,73129.984
534476260,167926.75
535106190,153218.33
535152010,133030.83
535152150,170979.86
535152250,150282.17
535175070,144065.7
535175180,136472.27
535180130,110484.06
535325400,95333.77
535456110,130635.17
902110090,141512.1
902206130,121483.09
902206240,110601.5
902207130,50790.85
902305110,145050.88
902327040,122581.48
902402010,143124.36
902403070,150436.61
903228150,140282.86
903232190,119519.84
903233120,133332.61
903426180,129326.41
903426200,147176.83
903450110,111959.91
905102060,132930.25
905105200,126150.43
905201030,72844.945
905202090,132883.36
905325030,246155.31
905378040,131600.39
905452160,148455.84
905453080,261773.27
906378100,240669.22
906380190,193048.33
906402200,325614.62
907125090,149008.61
907200280,156339.28
907200290,150404.19
907280040,225221.56
907290040,195682.66
907290170,141560.0
908102060,65471.906
908102300,96689.27
908203100,103941.266
908208020,140576.83
908226130,85757.8
909100080,115222.03
909100110,122394.695
909176150,119531.24
909427230,240351.55
909455030,185693.1
909455040,178796.89
911370510,278726.97
914475090,162343.61
914476520,219555.33
914478045,148454.86
914478110,172304.77
916455170,219473.89
921128020,380294.3
923202105,186347.0
923225440,84595.79
923226250,90097.945
923226320,82598.13
923228270,80728.67
923251080,148336.55
923426070,143905.19
526302110,117776.64
526355080,365178.94
527146010,242607.95
527165130,165204.75
527254020,366890.12
527354100,211566.73
527355150,298972.56
527356040,160899.53
527359180,181024.27
527364030,230762.08
527375210,148509.23
527378140,163577.58
